Section,Dataset,Description
Whole Body, CT-ORG,"3D CT, 140 Cases, 6 Categories of Organ Segmentation"
Whole Body, AutoPET,"3D PET-CT, 1214 Cases, 1 Category of Whole Body Tumor Segmentation"
Whole Body, TotalSegmentator,"3D CT, 1204 Cases, 104 Categories of Whole Body Organ Segmentation"
Whole Body, NAFLD,"2D Pathological Imaging, 119828 Cases, 16 Categories of Pathological Imaging Classification"
Whole Body, TotalSegmentator V2,"3D CT, 1228 Cases, 117 Categories of Whole Body Organ Segmentation"
Whole Body, ULS,"3D CT, 38842 Cases, 1 Category of Whole Body Tumor Segmentation"
Whole Body, TotalSegmentator MRI,"3D MR, 298 Cases, 56 Categories of Whole Body Organ Segmentation"
Whole Body, MedFMC,"2D, 22349 Cases, 5 Tasks of Disease Classification"
Head and Neck, L2R-OASIS,"3D MRI, 416 Cases, 35 Categories of Brain Segmentation and Registration"
Head and Neck, MSseg08,"3D MRI, 51 Cases, 1 Category of Multiple Sclerosis Lesion Segmentation"
Head and Neck, MRBrains13,"3D MR: T1, T1IR, FLAIR 320 Cases, 3 Categories of Brain Region Segmentation"
Head and Neck, DDTI,"2D Ultrasound, 637 Cases, 1 Category of Thyroid Nodule Segmentation"
Head and Neck, Ultrasound Nerve Segmentation,"2D Ultrasound, 11143 Cases, 1 Category of Cervical Nerve Segmentation"
Head and Neck, BraTS-TCGA-LGG,"3D MRI, 65 Cases, 3 Categories of Low Grade Glioma (LGG) Segmentation"
Head and Neck, BraTS-TCGA-GBM,"3D MRI, 102 Cases, 3 Categories of Glioblastoma Multiforme (GBM) Segmentation"
Head and Neck, PDDCA,"3D CT, 48 Cases, 9 Categories of Head and Neck Organs Segmentation"
Head and Neck, BraTS18,"3D MRI, 285 Cases, 3 Categories of Brain Tumor Segmentation"
Head and Neck, ZuCo,"2D NLP, 146909 Cases, 3 Categories of EEG (electroencephalography) Sampling in Reading"
Head and Neck, iSeg,"3D MRI, 13 Cases, 3 Categories of Brain Tissue Segmentation"
Head and Neck, StructSeg2019 Task1,"3D CT, 50 Cases, 22 Categories of Head and Neck Organs Segmentation"
Head and Neck, StructSeg2019 Task2,"3D CT, 50 Cases, 1 Category of Nasopharyngeal Carcinoma Segmentation"
Head and Neck, MSD Brain,"3D mpMR, 484 Cases, 3 Categories of Glioma Segmentation"
Head and Neck, MSD Hippocampus,"3D MRI, 394 Cases, 2 Categories of Hippocampus Segmentation"
